Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AUMN,Golden Minerals Company Common Stock,$0.6113,0.001,0.164%,99317674.00,United States,,318994,,
AWX,Avalon Holdings Corporation Common Stock,$4.58,-0.04,-0.866%,17859394.00,United States,,34575,Public Utilities,Environmental Services
AXU,Alexco Resource Corp Common Shares (Canada),$2.52,0.00,0.00%,379719204.00,Canada,,961077,Basic Industries,Precious Metals
BATL,Battalion Oil Corporation Common Stock,$13.23,-0.17,-1.269%,215220308.00,,,3316,Energy,Oil & Gas Production
BCV,Bancroft Fund Ltd.,$31.95,-0.025,-0.078%,176293263.00,United States,,10003,Finance,Finance/Investors Services
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,$25.57,0.355,1.408%,,United States,,1453,,
BDL,Flanigan's Enterprises Inc. Common Stock,$40.20,-0.30,-0.741%,74717609.00,United States,,4203,Consumer Services,Restaurants
BDR,Blonder Tongue Laboratories Inc. Common Stock,$1.30,0.01,0.775%,15548657.00,United States,,226198,Capital Goods,Industrial Machinery/Components
BGI,Birks Group Inc. Common Stock,$2.94,-0.10,-3.289%,53887092.00,Canada,,2485373,,
BHB,Bar Harbor Bankshares Inc. Common Stock,$28.89,0.14,0.487%,432636417.00,United States,,40839,Finance,Major Banks
BKTI,BK Technologies Corporation Common Stock,$3.15,0.00,0.00%,52875021.00,United States,,125146,Technology,Radio And Television Broadcasting And Communications Equipment
BMTX,BM Technologies Inc. Common Stock,$12.27,-0.28,-2.231%,149698638.00,,2018,42976,Technology,EDP Services
BRBS,Blue Ridge Bankshares Inc. Common Stock,$18.10,0.17,0.948%,505570901.00,,,45719,Finance,Commercial Banks
BRG,Bluerock Residential Growth REIT Inc. Class A Common Stock,$10.37,-0.02,-0.192%,307255685.00,,2014,326369,Consumer Services,Real Estate Investment Trusts
BRG^C,Bluerock Residential Growth REIT Inc. 7.625% Series C Cumulative Redeemable Preferred Stock,$25.8384,0.0684,0.265%,,,,1197,,
BRG^D,Bluerock Residential Growth REIT Inc. 7.125% Series D Cumulative Preferred Stock ($0.01 par value per share),$25.75,0.05,0.195%,,,,1415,,
BRN,Barnwell Industries Inc. Common Stock,$2.97,-0.36,-10.811%,24583165.00,United States,,935612,Energy,Oil & Gas Production
BTG,B2Gold Corp Common shares (Canada),$4.21,0.03,0.718%,4428704149.00,Canada,,4361041,Basic Industries,Precious Metals
BTN,Ballantyne Strong Inc. Common Stock,$4.72,-0.04,-0.84%,86383288.00,United States,,48689,Miscellaneous,Industrial Machinery/Components
BTTR,Better Choice Company Inc. Common Stock,$4.44,0.25,5.967%,0.00,,2021,718602,,
BTX,Brooklyn ImmunoTherapeutics Inc. Common Stock,$16.86,-0.19,-1.114%,719663671.00,United States,,1777155,Health Care,Major Pharmaceuticals
BWL/A,Bowl America Inc.,$8.8501,-0.0299,-0.337%,,United States,,3691,,
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),$2.27,-0.05,-2.155%,39024803.00,Israel,,149434,Health Care,Major Pharmaceuticals
CCF,Chase Corporation Common Stock,$104.88,-0.52,-0.493%,990945150.00,United States,,20664,Basic Industries,Paints/Coatings
CDOR,Condor Hospitality Trust Inc. Common Stock,$6.02,-0.03,-0.496%,72402239.00,United States,,15746,Consumer Services,Real Estate Investment Trusts
CEI,Camber Energy Inc. Common Stock,$0.6734,-0.0942,-12.272%,39363802.00,United States,,24831684,Energy,Oil & Gas Production
CET,Central Securities Corporation Common Stock,$42.16,0.16,0.381%,1106295390.00,United States,,9612,Finance,Finance/Investors Services
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,$14.05,0.07,0.501%,100226729.00,United States,1999,15462,Finance,Finance/Investors Services
CHAQ,Chardan Healthcare Acquisition 2 Corp. Common Stock,$9.96,0.00,0.00%,107351918.00,,2020,75,,
CHFW,Consonance-HFW Acquisition Corp. Class A Ordinary Shares,$9.93,-0.01,-0.101%,118504620.00,,2021,1516,Finance,Business Services
CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock,$3.50,-0.03,-0.85%,183067252.00,United States,,1673228,Finance,Finance/Investors Services
CIX,CompX International Inc. Common Stock,$20.57,-0.52,-2.466%,255091799.00,United States,1998,1730,Miscellaneous,Diversified Manufacture
CKX,CKX Lands Inc. Common Stock,$12.4526,0.00,0.00%,24189113.00,United States,,55,Energy,Oil & Gas Production
CLM,Cornerstone Strategic Value Fund Inc. New Common Stock,$11.83,0.16,1.371%,918864906.00,United States,1987,1259818,Finance,Finance/Investors Services
CMCL,Caledonia Mining Corporation Plc Common Shares,$11.92,-0.09,-0.749%,144456370.00,Canada,,64576,Basic Industries,Precious Metals
CMT,Core Molding Technologies Inc Common Stock,$17.28,0.23,1.349%,146611763.00,United States,,57679,Consumer Durables,Electronic Components
